definition_key,defining_subtopic,slug,sha256,links
350-10 IntangibleAssetClass,350-10,intangible-asset-class,9c988d76ef2d30d4ed64e13d81e813514130d7ff98e2fd5016d1b77d176a98e1,5
350-10 IntangibleAssets,350-10,intangible-assets,9ddbf56e47f017134acf2d7db061af2d97c626518414eb5916c2a8f69658cb26,32
350-10 MutualEntity,350-10,mutual-entity,50170c35b184de6755aed123b6efccd25e1573b2312b419ffd189cec957fc86e,3
350-10 Not-for-profitEntity_NFP_,350-10,not-for-profit-entity,1a58d765edec8fc89e2645a1bf53c0f0fc57fc7c6ab8d7cac1ce545ca3d04daa,207
350-10 ReportingUnit,350-10,reporting-unit,0caffe42ff9e7e8b1023e84942deeb81105d289bfd1412266684f75edf657c96,6
350-10 ResidualValue,350-10,residual-value,3563e779e4cccedf60383a5e0961d5dfa5336db9c4fd33858f4c2c93e96042c8,4
350-10 UsefulLife,350-10,useful-life,07a7b25c567acc410ef0cc1ba6f45889ba10633006a2a460322170b6659fc78e,10
350-40 PreliminaryProjectStage,350-40,preliminary-project-stage,df3f73b4adaa7c2c2e3713535c6116feefbf59389fd8fe985da2d0229a8a0d22,2
360-10 AssetGroup,360-10,asset-group,a8dbc0ce8871d81d32239b85b229ebd9b01db842435ec8d033006659d2ef39a9,7
360-10 FirmPurchaseCommitment,360-10,firm-purchase-commitment,6c96b88e1001029276fb8c9570e56f54bad3655ed692c5207d4dc73daa4158ad,4
360-10 Impairment,360-10,impairment,5b35f9c08785c6b054ae89cabf465a0b2437c8c622b383d9b15faf112e890f52,14
360-20 IntegralEquipment,360-20,integral-equipment,8b79ff0989afc9b09af35962d0185a9aba6595d6b2611681e5659653e5684010,2
405-30 In-ForcePolicies,405-30,in-force-policies,9229ca7e67fdab39c928ebbc86a780434f85ef54966f573be8053a3c44384655,2
405-30 IncurredLosses,405-30,incurred-losses,3f15486c78d41b6f9b20958d4d1c7fd83fbc207601f5675a813d6f7f49ffdbd3,2
405-30 InvoluntaryPools,405-30,involuntary-pools,40a41abaf31365f24f0ffc88eda4fdff07c4e00b1009dfefb8cc4b972ff9e3a9,1
405-30 Life_Annuity_andHealthInsuranceEntities,405-30,life-annuity-and-health-insurance-entities,c2f552b926f4b8806744d5eccb113a8c6e4301f31392ab47ac0eaa77a5dc297a,1
405-30 ObligatedtoWrite,405-30,obligated-to-write,f3495c0695e364aedf125e3e19442ac323c7e2d46bbb2ff815b9bfa1aa3291c3,3
405-30 PremiumTaxOffsets,405-30,premium-tax-offsets,7b8662fa8a5974fd369828801abeceabfb838c1ad8ee04ff063f9c56ed623010,5
405-30 PremiumsWritten,405-30,premiums-written,fa110f4baaa000d7a429ee5052e58a07ea743351e6a3e82bfebc99f699d152e7,2
405-30 PropertyandCasualtyInsuranceEntity,405-30,property-and-casualty-insurance-entity,0eb57e4451b5410caf8ad891093548a06e58959fae254e9726b5f5031568ed6d,1
410-20 AccretionExpense,410-20,accretion-expense,d3007d4ce1f69cad75b163da02dbb279aea6e9e6f3b65bf2296dab2bce516fa4,7
410-20 AssetRetirementCost,410-20,asset-retirement-cost,b37ad6e28c2ba069e36ddf7e7e5b9348abe5ccba4db8cdad7c45896be36f8e26,6
410-20 AssetRetirementObligation,410-20,asset-retirement-obligation,39e8873ceb9d65b24c7a5566554ac8f05c988c158913f748eb38eb11b7a63568,12
410-20 ConditionalAssetRetirementObligation,410-20,conditional-asset-retirement-obligation,6ba1b611a034b39d381c94910445aac00e92ccb144149906ba6ab71937b75031,2
410-20 LegalObligation,410-20,legal-obligation,d02f3c9dbbcb493584e92532299e2e5b8f1c4cf0cc27a8fb511fe66a7eb913cf,6
410-20 Promissoryestoppel,410-20,promissory-estoppel,05ffeea9158b3bffb0b9230dac15d4ec321bde946b05c9b545be2ae8c2a39876,1
410-20 Retirement,410-20,retirement,9295b67d449615d8da4d3719c903f1bc8a2ddef9c00be9c64d99d10bd334c3b5,5
410-30 Closure,410-30,closure,21c0064eee29984a871c77c52f1c5b61ee775bce90490b40f7c771da15602c0c,3
410-30 ConsentDecree,410-30,consent-decree,1e2e540926836570efb473bac7592fbb1415f6800e4878994f038c4ea796a296,1
410-30 CorrectiveAction,410-30,corrective-action,830045d440341234a0e4bd46f3daa6ec244d8b3556eb1137fa79be3e041bbd88,1
410-30 Disposal,410-30,disposal,6b66e46e54fcae6f528f3ae272d239f9f0ed7f94af98485fcbeab0de7412b4c8,5
410-30 Hazardoussubstance,410-30,hazardous-substance,d146e8afefbe12032f20fba40df441fe125cda910c81acbe1a9633c8e18b1350,1
410-30 Hazardouswaste,410-30,hazardous-waste,988a0e3075937a33a0d1543c3a2669e2830801555304d5fb8ccbe56ee7779594,2
410-30 Hazardouswasteconstituent,410-30,hazardous-waste-constituent,597ac6a67af8728d84618dac098b0ceeeb0ce4ee2070528f732330ddd7e74c5e,1
410-30 JointandSeveralLiability,410-30,joint-and-several-liability,820050d69f1493286d3a903b2d878d3e40a2fb81260a853beb6342bbe89b4335,2
410-30 NaturalResources,410-30,natural-resources,5255d485aeac66a2359dd520f0b7a2f3e02fbdca9ad3b21d75652570522b03a7,1
410-30 OrphanSharepotentiallyresponsibleparty,410-30,orphan-share-potentially-responsible-party,2937c04c30fece4ca04971641375f2948450ccb874f36a40af4fb405e12ec13c,2
410-30 Orphanshare,410-30,orphan-share,7e7c69efc2c2b8cadfa4cb783bb28dfe7cca85ccd70b2f7271a8c3c0c2e0ed06,1
410-30 Participatingpotentiallyresponsibleparty,410-30,participating-potentially-responsible-party,1b45cd9698bcc21847c7ab6db2dafb43ca98e79673452eec12c2f0eef91a3e09,2
410-30 Potentiallyresponsibleparty,410-30,potentially-responsible-party,7483ecb4508d39c2f60fc0003072b3dfd2747a40d17434195243cf9623acde26,2
410-30 Recalcitrantpotentiallyresponsibleparty,410-30,recalcitrant-potentially-responsible-party,f76148d9df29b014343d2b3389c90f8243478027048815d03c58fea095f66100,2
410-30 Release,410-30,release,c2275f29e8e98338f8b930dfc7e4285f252a51affea7c4bf3179e0f4778da15f,3
410-30 RemedialAction_Remediation_,410-30,remedial-action,79e6c5b1827f7641c7c11ca410f82b54e5b97a2ec076053886a6aac48b6a3619,5
410-30 RemedialInvestigation-FeasibilityStudy,410-30,remedial-investigation-feasibility-study,1d2829487d8e5321f1a5be95007a3ecd7144b35237577142bd6c5a34b61a1102,2
410-30 RemovalAction_Removal_,410-30,removal-action,986ab91fc8dc2deb5405a29e93dda3757e85ebed7135f62f97d766ede112cd0d,2
410-30 Strictliability,410-30,strict-liability,679c01c4b482fa945339574ae389fb9ce2277ea79023fb85fb1353bcf42cf9f7,1
410-30 Unilateraladministrativeorder,410-30,unilateral-administrative-order,29cce61c322469dc36f6e67ce12e574b56f10435f0b5aa47cb482080b3c6213e,2
410-30 UnknownPotentiallyresponsibleparty,410-30,unknown-potentially-responsible-party,5bbb40de379a10ac9b0d497456674852b9db71c05b61ad54c0f496fc703f5b71,2
410-30 UnprovenPotentiallyresponsibleparty,410-30,unproven-potentially-responsible-party,cf2098d7e3831bf0241980480cc5089fdfac79cc64e7b9004c7d67f334c43ff0,2
420-10 Cease-usedate,420-10,cease-use-date,9361ab00d924fadcda9076a64ce5894c94275d0183c05df4c73948dd2f91678f,2
420-10 Communicationdate,420-10,communication-date,eb1cbe3c7f967b367bb4a76a75c1fcc8ec541fc513d7931922ab3eb75532c702,4
420-10 Legalnotificationperiod,420-10,legal-notification-period,bc5d1ac2d980dbaf48e213a543d7a86d469788f04c840454714b3a5b326f1f5f,1
420-10 One-timeemployeeterminationbenefits,420-10,one-time-employee-termination-benefits,cb689ce8b27357585625cf1526356f5e33ee3c3489e3f3e5c21ee46206310484,11
420-10 Restructuring,420-10,restructuring,98e91beffc1924d3834f80a5933ff1ffca9ffee450a19d3774b42ccaacb1dd31,2
